date,campaign,impressions,clicks,conversions,cost
2025-05-01,Google Ads,24500,612,45,135000
2025-05-02,Google Ads,26000,702,52,150000
2025-05-03,Google Ads,23000,598,43,130000
2025-05-04,Google Ads,20000,520,38,115000
2025-05-05,Google Ads,25500,675,50,145000
2025-05-06,Google Ads,27000,729,54,155000
2025-05-01,Yahoo Ads,18500,462,25,75000
2025-05-02,Yahoo Ads,19200,480,27,82000
2025-05-03,Yahoo Ads,17800,445,24,72000
2025-05-04,Yahoo Ads,16500,412,22,68000
2025-05-05,Yahoo Ads,19800,495,28,85000
2025-05-06,Yahoo Ads,20500,512,30,88000
2025-05-01,Facebook Ads,32000,960,38,114000
2025-05-02,Facebook Ads,33500,1005,40,120000
2025-05-03,Facebook Ads,31000,930,37,111000
2025-05-04,Facebook Ads,29500,885,35,105000
2025-05-05,Facebook Ads,34200,1026,41,123000
2025-05-06,Facebook Ads,35000,1050,42,126000
2025-05-01,Instagram Ads,22000,660,26,78000
2025-05-02,Instagram Ads,23500,705,28,84000
2025-05-03,Instagram Ads,21000,630,25,75000
2025-05-04,Instagram Ads,20000,600,24,72000
2025-05-05,Instagram Ads,24000,720,29,87000
2025-05-06,Instagram Ads,25000,750,30,90000
2025-05-01,Twitter Ads,15000,300,12,36000
2025-05-02,Twitter Ads,16000,320,13,39000
2025-05-03,Twitter Ads,14500,290,11,33000
2025-05-04,Twitter Ads,13800,276,11,33000
2025-05-05,Twitter Ads,16500,330,13,39000
2025-05-06,Twitter Ads,17000,340,14,42000
